category code,category,subcategory code,subcategory,subcategory description,level,level name,leveldescription,attribute 1,attribute 2,attribute 3,attribute 4,attribute 5,attribute 6,attribute 7,attribute 8
PRPR,Procurement Professionals Capability Set,STPR,Strategic Procurement Leadership,"Lead the development of procurement as a professional, strategic, value adding function enabling delivery of organisational business objectives and optimising procurement quality, productivity and performance outcomes",1,Level 1 - Tactical,Undertakes key procurement activities for straightforward goods and services.,Know the role of procurement in the organisation as a core business partnership.,Effectively deal with basic procurement queries from users and stakeholders.,"Explain NSW Procurement Policy and local procurement processes to employees outside of the procurement area, at a transactional level.",Apply NSW Procurement Policy and local procurement processes correctly in undertaking basic procurement activities.,Adapt to and support changes and improvements in procurement.,,,
PRPR,Procurement Professionals Capability Set,STPR,Strategic Procurement Leadership,"Lead the development of procurement as a professional, strategic, value adding function enabling delivery of organisational business objectives and optimising procurement quality, productivity and performance outcomes",2,Level 2 - Operational,Undertakes procurement activities for a wide range of goods and services. Provides advice and guidance to key stakeholders on the performance of procurement procedures and processes.,Recognise the procurement role and responsibility across the organisation and act as a business partner when undertaking procurement activities.,Engage confidently with senior stakeholders on procurement matters.,Understand the strategic value of procurement and the need to achieve agreed performance targets and business objectives.,Contribute to the development and standardisation of processes and apply changed processes and standards consistently.,Seek to maintain and build their currency and professionalism in procurement.,,,
PRPR,Procurement Professionals Capability Set,STPR,Strategic Procurement Leadership,"Lead the development of procurement as a professional, strategic, value adding function enabling delivery of organisational business objectives and optimising procurement quality, productivity and performance outcomes",3,Level 3 - Managerial,"Manages strategic procurement activities for complex goods and services. Develops, improves and fulfils organisational and functional objectives in procurement and contracting.",Contribute to the strategic direction of the procurement function and implement this at a local level.,Assess key stakeholders and develop strategies to gain buy-in and support for procurement programs/initiatives.,"Set targets, priorities and objectives for own area of responsibility.",Deploy and align procurement processes effectively to support business needs and targets; support the development of key governance processes.,"Proactively identify and recommend changes and improvements to procurement policy, processes and standards.","Continue to develop skills and abilities to research, learn and apply contemporary best practice in procurement and proactively share knowledge.",Coach staff within the procurement function and influence users and suppliers to deliver better procurement outcomes for the organisation.,
PRPR,Procurement Professionals Capability Set,STPR,Strategic Procurement Leadership,"Lead the development of procurement as a professional, strategic, value adding function enabling delivery of organisational business objectives and optimising procurement quality, productivity and performance outcomes",4,Level 4 - Professional," Formulates direction and advice, manages change, and leads and influences stakeholders in procurement and contracting.",Influence the strategic vision and direction of the procurement function and support its effective implementation across all areas of the business.,Incorporate business insights and objectives into the development of the procurement strategies.,Develop innovative procurement solutions at a project/category/organisational level.,Use a range of organisational procurement models to design structures which suit the organisational environment.,Establish KPIs and reporting processes and frameworks to capture and report the benefits of the procurement function.,Lead efforts to develop and harmonise procurement processes/standards across all user groups to gain buy-in and organisational commitment.,"Research and seek opportunities for improvement in procurement and effectively promote and manage changes in procurement policy, processes and practice.",Mentor other procurement professionals on best practice and innovative methods to deliver better outcomes and lead by example.
PRPR,Procurement Professionals Capability Set,STPR,Strategic Procurement Leadership,"Lead the development of procurement as a professional, strategic, value adding function enabling delivery of organisational business objectives and optimising procurement quality, productivity and performance outcomes",5,Level 5 - Advanced professional,Leads procurement teams within an organisation. Influences the organisation to adopt leading-edge procurement strategies and establish best practice. Influences supply markets with innovative sourcing solutions.,Establish the vision and direction of the procurement function to meet the business need and implement this across the organisation.,Incorporate business insights and objectives into the development of the procurement function.,"Champion the application of advanced and innovative procurement processes, technologies, techniques and strategies.",Set stretch functional objectives and targets ensuring alignment to corporate objectives with consideration to local business unit strategies.,Establish appropriate governance mechanisms at a functional level within the organisation to drive effective procurement practice across the organisation.,"Drive continuing improvement and change in procurement policy, processes and practice to deliver better outcomes for the organisation, state and economy.",Inspire others and contribute significantly to the ongoing development of procurement as a profession in the organisation and externally.,
PRPR,Procurement Professionals Capability Set,PANA,Procurement Analysis,"Gather and evaluate information on the market, business needs, categories, key suppliers, the supply chain and contextual factors to inform procurement decisions",1,Level 1 - Tactical,Undertakes key procurement activities for straightforward goods and services.,Interpret business needs and specifications.,Undertake basic supply market and demand analysis.,Use templates provided to conduct basic spend analysis.,"Use basic sources to collect supply market and category information (internet, newspapers etc.).",Know the value of key suppliers and how they impact business outcomes.,Seek out competitive options to specified products or services.,Apply basic techniques and utilise procurement systems effectively.,
PRPR,Procurement Professionals Capability Set,PANA,Procurement Analysis,"Gather and evaluate information on the market, business needs, categories, key suppliers, the supply chain and contextual factors to inform procurement decisions",2,Level 2 - Operational,Undertakes procurement activities for a wide range of goods and services. Provides advice and guidance to key stakeholders on the performance of procurement procedures and processes.,Engage with stakeholders to determine business needs and requirements to inform procurement decisions.,"Thoroughly research the key risks, people, market, supplier and timing issues for categories.",Develop basic analysis of spend using simple tools and spreadsheets to identify trends and assess changes in demand.,Undertake basic supply market analysis for straightforward areas of spend with some direction and oversight.,Undertake basic supplier/customer preferencing for straightforward areas of expenditure.,Develop functional specifications to ensure supply options are not limited.,Apply different tools/techniques appropriately in different procurement situations.,
PRPR,Procurement Professionals Capability Set,PANA,Procurement Analysis,"Gather and evaluate information on the market, business needs, categories, key suppliers, the supply chain and contextual factors to inform procurement decisions",3,Level 3 - Managerial,"Manages strategic procurement activities for complex goods and services. Develops, improves and fulfils organisational and functional objectives in procurement and contracting.",Effectively engage stakeholders and develop procurement strategies based on sound knowledge of business needs and supply markets.,Identify a number of different supply markets from which a category can be sourced and assess the optimal approach.,Develop robust analysis of spend using simple tools and spreadsheets to identify trends and assess changes in demand.,"Apply strategic tools such as Supply Positioning, market segmentation analysis, PESTLE and Porters Five Forces to analyse supply markets.",Undertake supplier/customer preferencing and effectively translate the outcomes into procurement sourcing strategies.,Research and provide competitive procurement options to deal with limited supply of products and services.,Review and select tools and systems solutions developed to suit the application needed.,
PRPR,Procurement Professionals Capability Set,PANA,Procurement Analysis,"Gather and evaluate information on the market, business needs, categories, key suppliers, the supply chain and contextual factors to inform procurement decisions",4,Level 4 - Professional,"Formulates direction and advice, manages change, and leads and influences stakeholders in procurement and contracting.",Lead the development of procurement strategies in consultation with business partners.,Interpret markets and their dynamics to inform procurement decisions for complex categories or large projects.,"Develop detailed spend visualisations which interpret the data, providing trends, demand drivers, themes and insight.",Regularly and effectively apply strategic tools to supply markets and across the supply chain.,Scope and shape categories to align with supply markets to maximise the organisation’s influence.,Develop procurement strategies to deal with markets with limited suppliers.,Bring the external perspective to the organisation based on a deep understanding of practices from other industry sectors.,Research and develop systems solutions to meet changing procurement and supply chain needs.
PRPR,Procurement Professionals Capability Set,PANA,Procurement Analysis,"Gather and evaluate information on the market, business needs, categories, key suppliers, the supply chain and contextual factors to inform procurement decisions",5,Level 5 - Advanced professional,Leads procurement teams within an organisation. Influences the organisation to adopt leading-edge procurement strategies and establish best practice. Influences supply markets with innovative sourcing solutions.,"Create ambitious and wide ranging procurement strategies based on supply market and category analysis together with an indepth knowledge of organisational demand, needs and requirements.","Effectively evaluate, shape, influence and develop supply markets to meet the current and future needs of the organisation.",Work with business partners to develop the analytics infrastructure to provide accurate spend information as required by procurement teams and stakeholders.,Demonstrate expertise in analysing supply markets across all categories and provide expert advice on the process.,Develop strategies and supply markets to effectively deal with limited sources of supply.,Set the overall strategy and framework for how different ‘go-to-market’ techniques are to be established and used throughout the organisation.,"Lead the interpretation, development and applications needed to better inform procurement decisions.",
PRPR,Procurement Professionals Capability Set,STSO,Strategic Sourcing,"Select suppliers of required goods and services based on market evaluation, capability and alignment to the strategic procurement directions of the organisation",1,Level 1 - Tactical,Undertakes key procurement activities for straightforward goods and services.,Procure a range of straightforward goods/services.,Effectively engage with internal and external stakeholders on routine procurement matters.,Recognise the need for procurement strategies to consider activities beyond a simple ‘go-to-market’ approach.,"Prepare procurement documentation which is professional, well structured and concise, uses appropriate language and contains relevant information for low value/ risk projects.","Assist in the evaluation of suppliers against market analysis, qualification and award criteria and effectively undertake simple tenders.",Develop simple evaluation plans and raise purchase requisitions for the creation of Purchase Orders.,Capture and report on the KPIs and performance of contracted suppliers.,
PRPR,Procurement Professionals Capability Set,STSO,Strategic Sourcing,"Select suppliers of required goods and services based on market evaluation, capability and alignment to the strategic procurement directions of the organisation",2,Level 2 - Operational,Undertakes procurement activities for a wide range of goods and services. Provides advice and guidance to key stakeholders on the performance of procurement procedures and processes.,Procure a wide range of complex goods/services.,Consult with internal stakeholders to determine procurement business needs and changes in demand and manage stakeholder expectations.,"Prepare procurement documentation which is professional, well structured and concise, uses appropriate language and contains relevant information for medium alue/risk projects.",Proficiently use all types of RFx and other ‘go-to-market’ processes.,Develop evaluation plans that incorporate both price and non-price components.,Undertake simple Value for Money calculations.,Develop template Contract Management plans that include defined KPIs for straightforward procurement contracts.,
PRPR,Procurement Professionals Capability Set,STSO,Strategic Sourcing,"Select suppliers of required goods and services based on market evaluation, capability and alignment to the strategic procurement directions of the organisation",3,Level 3 - Managerial,"Manages strategic procurement activities for complex goods and services. Develops, improves and fulfils organisational and functional objectives in procurement and contracting.",Manage categories or large areas of expenditure.,Engage supply markets and internal stakeholders positively to achieve effective communication and conditioning.,Analyse all internal and external procurement information to effectively develop supply base strategies for major procurement projects.,"Prepare procurement documentation which is professional, well structured and concise, uses appropriate language and contains relevant information for high value/ high risk projects.",Demonstrate expert knowledge of the supplier evaluation and selection process and manage the process for high value/high risk projects.,Develop evaluation plans that allow for a multi-stage evaluation and assessment of several potentially competing criteria and complex Value for Money calculations.,Conduct straightforward debriefs.,"Develop detailed Contract Management plans that include defined KPIs, a pre-determined approach to feedback, and an action plan to address non-performance issues."
PRPR,Procurement Professionals Capability Set,STSO,Strategic Sourcing,"Select suppliers of required goods and services based on market evaluation, capability and alignment to the strategic procurement directions of the organisation",4,Level 4 - Professional,"Formulates direction and advice, manages change, and leads and influences stakeholders in procurement and contracting.","Lead sourcing activities and management of large, complex categories or projects and often facilitate expert reference group.",Lead supplier event days and other internal/external communication forums aimed at developing and engaging with the supply base to improve performance.,Lead the development of the supply base strategy within major markets and incorporate input from senior stakeholders and technical functions to obtain agreement to overarching strategy.,Demonstrate expertise in the development of all types of market facing documents in all categories and types of procurement activity.,"Lead cross-functional teams in the evaluation of large, complex, organisation-wide agreements.",Develop evaluation plans that assess multiple complex criteria over several stages and incorporate complex Total Cost of Ownership or similar calculations.,Execute contracts in line with delegated authority and conduct potentially contentious or difficult debriefs with unsuccessful suppliers.,"Develop detailed Contract Management Plans, KPIs, performance reviews, governance structures, resources, benefits tracking and reporting for significant projects and procurement categories."
PRPR,Procurement Professionals Capability Set,STSO,Strategic Sourcing,"Select suppliers of required goods and services based on market evaluation, capability and alignment to the strategic procurement directions of the organisation",5,Level 5 - Advanced professional,Leads procurement teams within an organisation. Influences the organisation to adopt leading-edge procurement strategies and establish best practice. Influences supply markets with innovative sourcing solutions.,Coach and support category managers and procurement professionals in determining the key drivers and sourcing attributes of all procurement categories.,Consult widely through the organisation on the strategic direction of business units and how the procurement function can contribute as a strategic business partner.,Lead the establishment of procurement document frameworks that meet stakeholder and regulatory requirements and deliver optimum strategic outcomes.,Lead the procurement function in ensuring that all supply market engagement activity is of the highest quality and is undertaken consistently with organisational values.,Conduct high-level sensitive or contentious debriefs that could attract political or media interest.,"Develop organisational guidelines and procedures for the development of Contract Management Plans, KPIs, performance reviews, governance structures, resources, benefits tracking and reporting.",Review and report procurement outcomes to the Executive Team/ Procurement Governance.,
PRPR,Procurement Professionals Capability Set,CONE,Commercial Negotiation,"Plan, conduct and analyse the outcomes of commercial negotiations to achieve business objectives",1,Level 1 - Tactical,Undertakes key procurement activities for straightforward goods and services.,Complete and follow a template commercial negotiation plan in preparation for low level procurement negotiations.,Respond to and deal with issues for straightforward procurement negotiations.,Plan and lead limited issue local business procurement negotiations.,Adapt own procurement negotiation approach throughout the process.,,,,
PRPR,Procurement Professionals Capability Set,CONE,Commercial Negotiation,"Plan, conduct and analyse the outcomes of commercial negotiations to achieve business objectives",2,Level 2 - Operational,Undertakes procurement activities for a wide range of goods and services. Provides advice and guidance to key stakeholders on the performance of procurement procedures and processes.,Work with business areas to identify where improvement and negotiation is required in procurement activities and develop basic commercial negotiation plans to suit.,Recognise procurement negotiation issues and options and make informed assessment of negotiation arguments.,Lead straightforward procurement negotiations often during the tendering cycle or as part of a contract review.,Use a range of persuasion methods and simple tactics to achieve successful procurement outcomes.,,,,
PRPR,Procurement Professionals Capability Set,CONE,Commercial Negotiation,"Plan, conduct and analyse the outcomes of commercial negotiations to achieve business objectives",3,Level 3 - Managerial,"Manages strategic procurement activities for complex goods and services. Develops, improves and fulfils organisational and functional objectives in procurement and contracting.","Partner with business areas to prepare and plan the procurement negotiation strategy based on sound knowledge, research and structure.","Thoroughly research the key people, market, supplier, timing and risks for each procurement negotiation and set appropriate targets.",Lead a multi-disciplined negotiating team in complex procurement negotiations (at a regional or cross business unit level).,"Adopt negotiation styles to suit the situation (emotion, logic, threat, bargaining and compromise) and consistently utilise successful negotiating and influencing behaviours.",,,,
PRPR,Procurement Professionals Capability Set,CONE,Commercial Negotiation,"Plan, conduct and analyse the outcomes of commercial negotiations to achieve business objectives",4,Level 4 - Professional,"Formulates direction and advice, manages change, and leads and influences stakeholders in procurement and contracting.",Develop robust negotiation plans with business partners for complex procurement negotiations and coach other procurement staff in how to approach negotiations.,Gather and apply leading edge procurement negotiation thinking and practice across the organisation.,"Lead negotiations for large complex categories and significant projects (e.g. outsourcing agreements, Joint Ventures, partnerships).","Adopt appropriate negotiation styles for all situations (internal and external), and effectively use these to deliver optimal procurement outcomes.",,,,
PRPR,Procurement Professionals Capability Set,CONE,Commercial Negotiation,"Plan, conduct and analyse the outcomes of commercial negotiations to achieve business objectives",5,Level 5 - Advanced professional,Leads procurement teams within an organisation. Influences the organisation to adopt leading-edge procurement strategies and establish best practice. Influences supply markets with innovative sourcing solutions.,Lead business stakeholders in the development of toolkits and frameworks aimed at supporting all areas in undertaking effective procurement negotiations.,Effectively influence the executive team and other internal and external stakeholders to use best practice procurement negotiation principles.,"Provide high level consultancy advice on negotiation process and tactics, as an expert negotiator within the business.",Actively promote and support the development of commercial negotiating skills and practice across the organisation.,"Persuade, influence and condition others to change their position to achieve optimal procurement outcomes, taking a tough negotiating stance when necessary.",,,
PRPR,Procurement Professionals Capability Set,PRRI,Procurement Risk Management,"Identify, assess and mitigate procurement risks",1,Level 1 - Tactical,Undertakes key procurement activities for straightforward goods and services.,Use basic techniques and tools to identify key risks.,Identify risks as required through procurement policy/procedures.,Utilise standard contractual provisions to mitigate contractual business risks.,Identify and track non-compliant procurement behaviours.,,,,
PRPR,Procurement Professionals Capability Set,PRRI,Procurement Risk Management,"Identify, assess and mitigate procurement risks",2,Level 2 - Operational,Undertakes procurement activities for a wide range of goods and services. Provides advice and guidance to key stakeholders on the performance of procurement procedures and processes.,"Identify and evaluate key risks at a contractual level for straightforward arrangements and seek input from other functions as appropriate (e.g. finance, legal etc.).",Input to risk logs and opportunity assessment reports as outlined in the organisational procurement practices.,Develop risk mitigation strategies for straightforward procurement arrangements.,Identify areas of non-compliance to procurement policy and raise with relevant stakeholders.,,,,
PRPR,Procurement Professionals Capability Set,PRRI,Procurement Risk Management,"Identify, assess and mitigate procurement risks",3,Level 3 - Managerial,"Manages strategic procurement activities for complex goods and services. Develops, improves and fulfils organisational and functional objectives in procurement and contracting.",Develop risk mitigation strategies for complex procurement arrangements.,Proactively keep abreast of risk management processes and effectively use systems and practices to input to project risk logs and opportunity assessment activities within own team.,"Develop risk mitigation strategies for complex and large procurement projects, ensure appropriate ownership of risk between the organisation and the supplier (i.e. allocation of risk where it is best managed).",Champion compliance as a key procurement risk mitigation strategy.,,,,
PRPR,Procurement Professionals Capability Set,PRRI,Procurement Risk Management,"Identify, assess and mitigate procurement risks",4,Level 4 - Professional,"Formulates direction and advice, manages change, and leads and influences stakeholders in procurement and contracting.",Lead the development of risk management tools and techniques to identify and prioritise risks to service delivery.,"Work closely with business areas to identify and manage commercial, contractual, operational, financial, reputational, ethical and supply chain risks emanating from procurement activity and supply base arrangements.",Follow procurement risk management processes for major projects and coach others within the team on how to conduct risk assessments using established processes and frameworks.,"Act as an internal consultant on techniques and actions to manage risk for high value complex projects and relationships, and take calculated risks to achieve objectives.",Manage compliance and work with business partners to eliminate noncompliant practices in procurement.,,,
PRPR,Procurement Professionals Capability Set,PRRI,Procurement Risk Management,"Identify, assess and mitigate procurement risks",5,Level 5 - Advanced professional,Leads procurement teams within an organisation. Influences the organisation to adopt leading-edge procurement strategies and establish best practice. Influences supply markets with innovative sourcing solutions.,"Partner with key business stakeholders to develop an organisation wide procurement risk management strategy and consistent, sustainable approach to the identification and assessment of risks and opportunities.","Develop policies, procedures, systems and appropriate review mechanisms for all procurement related risks (Political, Health and Safety, Financial, Commercial, Contractual, Social, Economic, Environmental) to ensure procurement. risks are effectively managed",Champion procurement risk management throughout the organisation and promote a culture of risk management and mitigation balanced with realisation of future opportunities.,Develop procurement compliance management frameworks and consequences for non-compliance.,,,,
